,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
121,20160153,1,2016-11-25,2016,11,25,15,ARAOZ Y AV CORDOBA,AVENIDA,15,PEATON-MOTO,PEATON,MOTO
122,20160154,1,2016-11-26,2016,11,26,14,AV GRAL PAZ 15200,AVENIDA,8,MOTO-MOTO,MOTO,MOTO
123,20160155,1,2016-11-26,2016,11,26,16,MADERO 900,CALLE,10,PEATON-AUTO,PEATON,AUTO
124,20160156,1,2016-11-26,2016,11,26,19,AV INDEPENDENCIA Y DEAN FUNES,AVENIDA,3,MOTO-PASAJEROS,MOTO,PASAJEROS
125,20160157,1,2016-12-03,2016,12,3,6,AV JUAN B JUSTO 5645,AVENIDA,11,MOTO-MOTO,MOTO,MOTO
126,20160159,1,2016-12-04,2016,12,4,7,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,AUTO-SD,AUTO,SD
127,20160160,1,2016-12-06,2016,12,6,5,AUTOPISTA PERITO MORENO ALTURA VELZ,AUTOPISTA,9,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO
128,20160161,1,2016-12-06,2016,12,6,7,AV SANTA FE Y GODOY CRUZ,AVENIDA,14,PEATON-PASAJEROS,PEATON,PASAJEROS
129,20160162,1,2016-12-07,2016,12,7,5,AV FEDERICO LACROZE Y AV FOREST,AVENIDA,15,PEATON-AUTO,PEATON,AUTO
130,20160163,1,2016-12-10,2016,12,10,7,AV GRAL PAZ Y AV GENERAL MOSCONI,AVENIDA,11,MOTO-AUTO,MOTO,AUTO
131,20160164,1,2016-12-11,2016,12,11,6,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,4,AUTO-AUTO,AUTO,AUTO
132,20160165,1,2016-12-12,2016,12,12,8,AV MARTIN GARCIA 300,AVENIDA,4,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
133,20160168,1,2016-12-13,2016,12,13,10,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,4,MOTO-AUTO,MOTO,AUTO
134,20160169,1,2016-12-15,2016,12,15,15,NUÑEZ Y AV RICARDO BALBIN,AVENIDA,12,MOTO-PASAJEROS,MOTO,PASAJEROS
135,20160170,1,2016-12-19,2016,12,19,17,AV GRAL PAZ 4500,AVENIDA,12,MOTO-AUTO,MOTO,AUTO
136,20160171,1,2016-12-25,2016,12,25,19,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,AUTOPISTA,1,MOTO-MOTO,MOTO,MOTO
137,20160172,1,2016-12-26,2016,12,26,8,AV GARAY Y CASTRO,AVENIDA,5,MOTO-CARGAS,MOTO,CARGAS
138,20160173,1,2016-12-26,2016,12,26,19,AV DIRECTORIO Y AV SAN PEDRITO,AVENIDA,7,MOTO-CARGAS,MOTO,CARGAS
139,20160174,1,2016-12-27,2016,12,27,0,AUTOPISTA 25 DE MAYO,AUTOPISTA,0,SD-SD,SD,SD
140,20160175,1,2016-12-27,2016,12,27,8,CNEL RAMON L FALCON Y MEMBRILLAR,CALLE,7,PEATON-BICICLETA,PEATON,BICICLETA
141,20160176,1,2016-12-28,2016,12,28,1,AV BELGRANO Y AV PASEO COLON,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS
142,20160177,1,2016-12-29,2016,12,29,4,ARENALES 3319,CALLE,14,PEATON-AUTO,PEATON,AUTO
143,20160178,1,2016-12-30,2016,12,30,16,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,CALLE,3,MULTIPLE,PEATON,MULTIPLE
144,20170001,1,2017-01-02,2017,1,2,1,AV. JUAN B JUSTO Y ACHUPALLAS,AVENIDA,11,MOTO-CARGAS,MOTO,CARGAS
145,20170003,1,2017-01-05,2017,1,5,3,OLAVARRIA Y AV. VELEZ SARSFIELD,AVENIDA,4,CARGAS-CARGAS,CARGAS,CARGAS
146,20170007,1,2017-01-11,2017,1,11,17,LIMA Y MEXICO,CALLE,1,MULTIPLE,PEATON,MULTIPLE
147,20170008,1,2017-01-16,2017,1,16,0,JOSE A CABRERA Y BONPLAND,CALLE,14,MOTO-PASAJEROS,MOTO,PASAJEROS
148,20170009,1,2017-01-16,2017,1,16,13,AU 25 DE MAYO Y AV. BOEDO,AUTOPISTA,5,MOTO-CARGAS,MOTO,CARGAS
149,20170010,1,2017-01-16,2017,1,16,16,AV. DIRECTORIO Y RIGLOS,AVENIDA,6,MOTO-AUTO,MOTO,AUTO
150,20170011,1,2017-01-22,2017,1,22,2,AV. GRAL. PAZ Y AV. R. BALBIN,AVENIDA,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
151,20170012,1,2017-01-24,2017,1,24,14,TRAFUL Y DIOGENES TABORDA,CALLE,4,MOTO-CARGAS,MOTO,CARGAS
152,20170013,1,2017-01-27,2017,1,27,7,IRIARTE 3055,AVENIDA,4,PEATON-CARGAS,PEATON,CARGAS
153,20170014,1,2017-01-28,2017,1,28,8,AV. DONADO Y ARIAS,AVENIDA,12,MULTIPLE,MOTO,MULTIPLE
154,20170015,1,2017-02-02,2017,2,2,15,CORDOBA AV. Y CALLAO,AVENIDA,2,PEATON-AUTO,PEATON,AUTO
155,20170016,1,2017-02-03,2017,2,3,5,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",AUTOPISTA,1,MOTO-CARGAS,MOTO,CARGAS
156,20170017,1,2017-02-06,2017,2,6,8,AV. JUAN B JUSTO Y PARAGUAY,AVENIDA,14,MOTO-AUTO,MOTO,AUTO
157,20170018,1,2017-02-09,2017,2,9,7,AV. GRAL. PAZ Y AV. DE LOS CORRALES,AVENIDA,9,MOTO-AUTO,MOTO,AUTO
158,20170021,1,2017-02-18,2017,2,18,5,SARMIENTO Y LIBERTAD,CALLE,1,MOTO-PASAJEROS,MOTO,PASAJEROS
159,20170024,1,2017-02-23,2017,2,23,20,AV. RIVADAVIA 7121,AVENIDA,7,PEATON-PASAJEROS,PEATON,PASAJEROS
160,20170025,1,2017-02-24,2017,2,24,17,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,AVENIDA,7,MOTO-SD,MOTO,SD
161,20170026,2,2017-02-26,2017,2,26,5,AV. PERITO MORENO Y FOURNIER,AVENIDA,4,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
162,20170027,1,2017-02-26,2017,2,26,21,AV. CASEROS 1429,AVENIDA,1,PEATON-AUTO,PEATON,AUTO
163,20170028,1,2017-02-28,2017,2,28,9,AV. GAONA Y FRAGATA SARMIENTO,AVENIDA,6,PEATON-AUTO,PEATON,AUTO
164,20170029,1,2017-03-07,2017,3,7,2,MOZART Y TANDIL,CALLE,9,SD-AUTO,SD,AUTO
165,20170030,1,2017-03-07,2017,3,7,8,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,AVENIDA,9,AUTO-PASAJEROS,AUTO,PASAJEROS
166,20170031,1,2017-03-11,2017,3,11,1,24 DE NOVIEMBRE Y PAVON ,CALLE,3,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
167,20170032,1,2017-03-12,2017,3,12,5,AV. GRAL. PAZ Y PEDRO DE MENDOZA,AVENIDA,8,AUTO-AUTO,AUTO,AUTO
168,20170033,1,2017-03-12,2017,3,12,7,AV. GRAL. PAZ KM. 10,AVENIDA,11,AUTO-AUTO,AUTO,AUTO
169,20170034,1,2017-03-13,2017,3,13,7,GODOY CRUZ 2651,CALLE,14,PEATON-AUTO,PEATON,AUTO
