,Dirección,Longitud,Latitud,Cantidad de accidentes
267,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",-58.38896772,-34.61799615,3
268,NAZCA AV. 365,-58.47074114,-34.62771756,1
269,"PERON, EVA AV. 5249",-58.48200819,-34.65969965,1
270,SAN JUAN AV. y RINCON,-58.39536773,-34.62297346,1
271,PERU 937,-58.37456088,-34.61895467,1
272,"PUEYRREDON, HONORIO, DR. AV. y GALICIA",-58.44860217,-34.60395657,1
273,DEL LIBERTADOR AV. y MANZANARES,-58.46129513,-34.54332766,1
274,PASEO COLON AV. 1019,-58.36907201,-34.61953517,1
275,VALLE y BARCO CENTENERA DEL,-58.44062219,-34.62499107,1
276,AUTOPISTA PERITO MORENO KM. 0.6,-58.52502765,-34.63601265,1
277,"HUERGO, ING. AV. e INDEPENDENCIA AV.",-58.36659655,-34.61687778,1
278,"PILCOMAYO y BROWN, ALTE. AV.",-58.36737389,-34.62763661,1
279,"CERVANTES y BELAUSTEGUI, LUIS, DR.",-58.49807953,-34.63038658,1
280,"CALLAO AV. y LOPEZ, VICENTE",-58.39092703,-34.59088447,1
281,"OLIDEN y CHILAVERT, MARTINIANO, CORONEL",-58.46912006,-34.68049201,1
282,CONGRESO AV. y GALVAN,-58.48661286,-34.56786129,1
283,"MORENO, PERITO AV. y RIVERA INDARTE AV.",-58.44074927,-34.65080597,1
284,AUSTRALIA AV. 2800,-58.38636298,-34.64684275,1
285,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",-58.37533517,-34.59276462,3
286,SAN PEDRITO AV. y RIVADAVIA AV.,-58.46963952,-34.63070603,1
287,"ISABEL LA CATOLICA y SALVADORES, CNEL.",-58.37207554,-34.64543658,1
288,LAS HERAS GENERAL AV. y CALLAO AV.,-58.39189441,-34.59176378,1
289,"FERNANDEZ DE LA CRUZ F., GRAL. AV. y AUTOPISTA PRESIDENTE HECTOR J. CAMPORA",-58.45012957,-34.66518343,1
290,"ALCORTA, AMANCIO AV. y ZAVALETA",-58.40184094,-34.64546845,2
291,"MONTES DE OCA, MANUEL AV. y OLAVARRIA",-58.37441153,-34.63966783,1
292,BARCO CENTENERA DEL y ROSARIO,-58.44110156,-34.62082399,1
293,ALVAREZ THOMAS AV. y DONADO,-58.47087351,-34.57827342,1
294,AVELLANEDA AV. y BOYACA AV.,-58.45962210,-34.62245140,1
295,"RABANAL, FRANCISCO, INTENDENTE AV. y SAENZ AV.",-58.41657793,-34.65476216,1
296,CASTRO y RONDEAU,-58.41911301,-34.63722107,1
297,"BILBAO, FRANCISCO AV. y AZUL",-58.47120586,-34.64251042,1
298,NAZCA AV. y GAONA AV.,-58.47418944,-34.62049672,1
299,PLAZA y ALVAREZ THOMAS AV.,-58.46720441,-34.57905579,1
300,"GAONA AV. y ARTIGAS, JOSE GERVASIO, GRAL.",-58.46909362,-34.61779710,1
301,CABILDO AV. y AGUILAR,-58.44704343,-34.56888640,1
302,CAMARONES y LOPE DE VEGA AV.,-58.50535541,-34.62902048,1
303,SANTA FE AV. 2320,-58.40021675,-34.59522198,1
